MJDcenter,crab_intensity_2-20keV,crab_intensity_2-20keV_err
55542.5,0.018733,0.005975
55543.5,0.012603,0.006744
55544.5,0.015086000000000002,0.007069
55545.5,-0.006504,0.006145
55546.5,-0.000321,0.005695
55547.5,0.024824000000000002,0.006125
55548.5,0.009689,0.006247
55549.5,0.011531,0.006067
55550.5,0.015327,0.006072999999999999
55551.5,0.012478,0.006122
55552.5,0.028681,0.006722
55553.5,-0.002104,0.008912999999999999
55554.5,0.005527000000000001,0.006157999999999999
55555.5,0.011182,0.006569
55556.5,-0.001184,0.0064730000000000005
55557.5,0.013595,0.006458
55558.5,0.002956,0.006314999999999999
55559.5,0.023733,0.006963
55560.5,0.013590999999999999,0.006813
55561.5,0.018703,0.006984000000000001
55562.5,0.027777,0.007194
55563.5,0.028392,0.007983
55564.5,0.018387999999999998,0.007514
55565.5,0.015755,0.007318000000000001
55566.5,0.036844999999999996,0.011366
55567.5,0.053933,0.009785
55568.5,0.037831000000000004,0.01315
55569.5,0.015563999999999998,0.011391
55570.5,0.026292000000000003,0.014341999999999999
55571.5,0.021467,0.012565
55572.5,0.018108000000000003,0.013897
55573.5,0.025686,0.012208
55574.5,0.0244,0.012968
55575.5,0.031045999999999997,0.014051
55576.5,0.058774,0.021906000000000002
55578.5,0.03617,0.015956
55579.5,0.010445999999999999,0.013124
55580.5,0.024677,0.013687000000000001
55581.5,0.027116,0.015754
55582.5,0.054567,0.016582
55583.5,0.02026,0.011329
55584.5,0.015226,0.013106999999999999
55585.5,0.039001999999999995,0.012629000000000001
55586.5,0.032365,0.012837999999999999
55587.5,0.266962,0.018131
55588.5,0.9599540000000001,0.023286
55589.5,1.564429,0.025582
55590.5,1.715311,0.021001
55591.5,1.7381330000000002,0.02033
55592.5,2.112921,0.040774
55594.5,1.6878,0.024641
55595.5,1.421262,0.018244999999999997
55596.5,1.224025,0.018361000000000002
55597.5,1.172189,0.018394
55598.5,1.180502,0.018548
55599.5,0.932725,0.016166
55600.5,1.052943,0.017847
55601.5,1.0082659999999999,0.01865
55602.5,0.18715299999999999,0.00938
55603.5,0.10548199999999999,0.008628
55604.5,0.244723,0.010473999999999999
55605.5,0.240654,0.011545999999999999
55606.5,0.23355900000000002,0.01124
55607.5,0.45501800000000003,0.014959
55608.5,0.43939300000000003,0.024213
